Title,Author,Year,Genre,Price,Rating
The Great Gatsby,George Orwell,1828,Adventure,8.42,2.5
The Hobbit,Jane Austen,1913,Mystery,19.36,1.3
Moby-Dick,Jane Austen,1982,Sci-Fi,5.42,2.7
The Catcher in the Rye,Jane Austen,1810,Non-Fiction,14.7,2.6
Brave New World,F. Scott Fitzgerald,1866,Mystery,7.69,2.7
Moby-Dick,F. Scott Fitzgerald,1835,Historical,11.3,4.3
The Hobbit,F. Scott Fitzgerald,1808,Sci-Fi,12.11,2.7
Moby-Dick,Margaret Atwood,1897,Non-Fiction,7.77,1.2
War and Peace,George Orwell,1903,Fiction,17.63,4.8
1984,Aldous Huxley,1875,Romance,16.97,2.5
The Catcher in the Rye,Herman Melville,1980,Non-Fiction,19.7,4.5
To Kill a Mockingbird,Margaret Atwood,1969,Romance,19.73,4.4
Brave New World,Leo Tolstoy,1988,Historical,10.31,4.1
Pride and Prejudice,Margaret Atwood,1806,Political,13.72,4.7
The Hobbit,Herman Melville,1840,Romance,5.05,4.9
Pride and Prejudice,George Orwell,1840,Dystopian,13.47,3.3
The Great Gatsby,Harper Lee,1871,Adventure,10.14,4.4
The Hobbit,J.R.R. Tolkien,1983,Non-Fiction,18.32,1.6
Pride and Prejudice,Margaret Atwood,1936,Romance,6.96,1.8
War and Peace,F. Scott Fitzgerald,1827,Sci-Fi,9.44,2.7
To Kill a Mockingbird,Jane Austen,1923,Fiction,5.17,1.2
The Great Gatsby,Margaret Atwood,1871,Fiction,6.83,4.2
War and Peace,J.R.R. Tolkien,1916,Fantasy,10.85,3.6
Moby-Dick,Leo Tolstoy,1826,Non-Fiction,14.79,2.2
To Kill a Mockingbird,Margaret Atwood,1943,Political,10.59,2.0
1984,Harper Lee,1829,Fantasy,9.09,1.2
Brave New World,J.D. Salinger,1911,Fantasy,19.92,4.7
War and Peace,Margaret Atwood,1825,Romance,18.12,3.4
War and Peace,F. Scott Fitzgerald,1975,Fantasy,16.0,1.2
To Kill a Mockingbird,J.R.R. Tolkien,1914,Adventure,7.69,3.3
Brave New World,Herman Melville,1895,Non-Fiction,16.52,3.2
Brave New World,J.D. Salinger,1940,Romance,13.91,4.0
To Kill a Mockingbird,Aldous Huxley,2017,Non-Fiction,18.09,3.4
The Catcher in the Rye,Harper Lee,1943,Dystopian,18.97,1.5
Animal Farm,Leo Tolstoy,1970,Political,5.42,1.0
The Hobbit,J.D. Salinger,1985,Adventure,8.93,1.9
The Hobbit,George Orwell,1862,Romance,6.84,1.7
War and Peace,Aldous Huxley,2022,Adventure,5.34,2.1
The Catcher in the Rye,Aldous Huxley,1858,Fantasy,9.91,3.3
1984,Harper Lee,1826,Adventure,11.21,3.1
The Catcher in the Rye,J.R.R. Tolkien,1838,Fantasy,12.14,3.8
War and Peace,J.D. Salinger,1895,Non-Fiction,11.6,1.0
1984,Margaret Atwood,1962,Historical,5.04,2.5
Moby-Dick,J.R.R. Tolkien,1935,Fantasy,13.79,3.5
Moby-Dick,J.D. Salinger,1907,Dystopian,18.16,2.4
The Hobbit,J.R.R. Tolkien,1871,Political,6.71,3.7
War and Peace,J.D. Salinger,1868,Non-Fiction,19.15,1.9
To Kill a Mockingbird,Herman Melville,1961,Mystery,16.8,3.0
The Catcher in the Rye,Aldous Huxley,1869,Historical,7.89,2.6
The Hobbit,Herman Melville,1994,Fiction,10.46,1.2
Animal Farm,F. Scott Fitzgerald,1879,Romance,10.54,2.0
1984,Margaret Atwood,1986,Dystopian,8.99,2.7
War and Peace,George Orwell,1801,Romance,10.36,2.1
The Catcher in the Rye,J.R.R. Tolkien,1873,Non-Fiction,14.61,3.8
The Hobbit,Aldous Huxley,1926,Romance,15.31,3.4
1984,Aldous Huxley,1840,Mystery,14.74,3.9
The Great Gatsby,Herman Melville,1852,Historical,14.0,2.2
War and Peace,Jane Austen,1921,Fantasy,14.72,3.0
Animal Farm,George Orwell,1857,Mystery,6.05,4.9
To Kill a Mockingbird,Leo Tolstoy,1903,Fantasy,16.29,1.5
Moby-Dick,Leo Tolstoy,1910,Political,10.79,3.3
The Hobbit,Margaret Atwood,2013,Fiction,6.58,2.9
Animal Farm,Harper Lee,2023,Adventure,13.0,3.7
To Kill a Mockingbird,Aldous Huxley,1855,Sci-Fi,8.23,2.8
The Great Gatsby,Margaret Atwood,1997,Sci-Fi,10.72,4.7
To Kill a Mockingbird,Herman Melville,1805,Non-Fiction,9.39,4.7
To Kill a Mockingbird,J.R.R. Tolkien,1882,Adventure,5.77,2.4
Pride and Prejudice,Harper Lee,1865,Political,16.69,4.9
War and Peace,Leo Tolstoy,1958,Fantasy,13.11,4.6
1984,Herman Melville,1845,Political,16.96,2.1
Brave New World,Herman Melville,2001,Non-Fiction,8.9,4.2
Brave New World,Margaret Atwood,1878,Fiction,17.31,3.4
The Catcher in the Rye,Jane Austen,1802,Political,19.28,2.3
Pride and Prejudice,Margaret Atwood,1890,Political,19.75,4.4
The Catcher in the Rye,J.D. Salinger,1990,Romance,15.25,1.2
The Catcher in the Rye,Aldous Huxley,1832,Adventure,13.09,1.2
1984,Aldous Huxley,1968,Romance,18.93,2.1
To Kill a Mockingbird,Jane Austen,1805,Romance,5.0,3.5
Brave New World,F. Scott Fitzgerald,1888,Political,16.56,3.2
War and Peace,Herman Melville,1807,Mystery,19.37,1.9
To Kill a Mockingbird,F. Scott Fitzgerald,1881,Mystery,7.24,4.7
The Great Gatsby,Jane Austen,1870,Fiction,16.04,5.0
The Hobbit,Harper Lee,1833,Historical,13.75,3.2
War and Peace,Aldous Huxley,2008,Non-Fiction,13.89,1.8
1984,Margaret Atwood,1931,Political,9.11,3.5
Animal Farm,J.R.R. Tolkien,1809,Non-Fiction,18.77,1.9
Moby-Dick,George Orwell,1873,Mystery,12.55,2.2
The Hobbit,Jane Austen,1854,Romance,6.56,3.4
To Kill a Mockingbird,J.R.R. Tolkien,1919,Mystery,16.46,3.5
Moby-Dick,J.R.R. Tolkien,1878,Adventure,10.28,3.9
1984,J.D. Salinger,1864,Historical,17.09,2.6
Animal Farm,Margaret Atwood,1949,Sci-Fi,19.04,4.9
To Kill a Mockingbird,Margaret Atwood,1960,Romance,9.8,3.3
Pride and Prejudice,J.D. Salinger,1926,Adventure,12.18,2.5
Moby-Dick,Aldous Huxley,1863,Non-Fiction,8.08,4.2
The Great Gatsby,Jane Austen,1894,Dystopian,6.07,4.3
Brave New World,Herman Melville,1914,Romance,6.91,4.6
The Catcher in the Rye,Harper Lee,1933,Non-Fiction,7.95,3.8
Pride and Prejudice,J.D. Salinger,1921,Historical,12.27,4.4
The Hobbit,Herman Melville,1809,Adventure,6.53,2.6
Brave New World,Margaret Atwood,1951,Fantasy,7.1,2.6
Pride and Prejudice,Harper Lee,1962,Political,7.47,3.1
War and Peace,J.D. Salinger,1986,Non-Fiction,15.12,3.0
The Great Gatsby,Margaret Atwood,1815,Non-Fiction,11.1,1.0
Animal Farm,Aldous Huxley,1808,Non-Fiction,13.45,1.7
War and Peace,F. Scott Fitzgerald,1870,Historical,14.32,3.0
Moby-Dick,Jane Austen,1970,Sci-Fi,8.97,4.4
The Hobbit,J.D. Salinger,1999,Fantasy,11.38,1.2
Animal Farm,F. Scott Fitzgerald,2011,Historical,10.39,1.0
1984,George Orwell,1985,Non-Fiction,19.38,2.9
The Hobbit,Herman Melville,2007,Fantasy,10.5,1.5
Brave New World,George Orwell,1974,Sci-Fi,14.1,1.8
Pride and Prejudice,George Orwell,1964,Political,15.66,2.9
1984,Margaret Atwood,1873,Dystopian,17.2,2.1
The Great Gatsby,Herman Melville,1905,Non-Fiction,11.22,1.0
1984,J.R.R. Tolkien,1842,Adventure,12.09,2.2
Animal Farm,George Orwell,1849,Romance,18.85,3.9
The Great Gatsby,F. Scott Fitzgerald,1813,Historical,19.57,4.0
The Catcher in the Rye,J.D. Salinger,1900,Dystopian,8.95,4.4
The Catcher in the Rye,George Orwell,1809,Adventure,7.06,1.8
The Great Gatsby,J.D. Salinger,1935,Mystery,14.56,3.6
The Hobbit,J.R.R. Tolkien,1927,Historical,7.17,1.4
1984,F. Scott Fitzgerald,1964,Fiction,6.87,4.9
To Kill a Mockingbird,Aldous Huxley,2020,Adventure,9.02,4.9
War and Peace,Leo Tolstoy,1823,Adventure,6.79,2.4
The Great Gatsby,George Orwell,1852,Fantasy,7.1,3.1
Pride and Prejudice,Leo Tolstoy,2000,Dystopian,14.91,2.4
Pride and Prejudice,George Orwell,1963,Non-Fiction,10.96,2.3
War and Peace,Jane Austen,1979,Dystopian,7.37,1.4
The Great Gatsby,Herman Melville,1936,Fantasy,10.98,4.7
Moby-Dick,F. Scott Fitzgerald,1927,Fantasy,11.33,4.9
Moby-Dick,Leo Tolstoy,2011,Mystery,10.15,3.5
The Catcher in the Rye,J.D. Salinger,1998,Non-Fiction,11.44,3.5
Brave New World,Jane Austen,1941,Political,7.64,1.1
Brave New World,Herman Melville,1866,Dystopian,11.55,2.3
War and Peace,George Orwell,1814,Fiction,9.15,1.0
Animal Farm,Margaret Atwood,1920,Romance,12.38,1.7
War and Peace,Harper Lee,2014,Fantasy,6.03,4.6
The Hobbit,F. Scott Fitzgerald,1975,Dystopian,5.25,3.5
The Hobbit,J.R.R. Tolkien,1841,Fantasy,10.38,4.7
Brave New World,Aldous Huxley,1805,Mystery,15.16,4.9
To Kill a Mockingbird,Herman Melville,1801,Non-Fiction,10.32,1.4
To Kill a Mockingbird,J.R.R. Tolkien,1830,Historical,12.54,4.1
Pride and Prejudice,Margaret Atwood,1908,Sci-Fi,10.38,4.7
1984,Leo Tolstoy,1900,Non-Fiction,8.16,3.8
The Hobbit,Jane Austen,1848,Mystery,8.41,2.8
Pride and Prejudice,Margaret Atwood,2000,Dystopian,17.47,4.3
War and Peace,Aldous Huxley,1868,Non-Fiction,10.09,4.8
The Hobbit,Aldous Huxley,1852,Political,7.45,1.9
The Hobbit,J.D. Salinger,1955,Romance,10.35,4.8
The Hobbit,George Orwell,1966,Sci-Fi,17.76,3.7
1984,F. Scott Fitzgerald,1954,Romance,5.17,3.8
Animal Farm,Harper Lee,1897,Romance,7.65,3.5
Brave New World,Harper Lee,1856,Fantasy,12.83,4.3
Pride and Prejudice,George Orwell,1895,Fiction,18.13,1.3
Moby-Dick,J.R.R. Tolkien,1846,Non-Fiction,16.53,2.1
The Great Gatsby,Margaret Atwood,1935,Adventure,7.78,3.2
The Catcher in the Rye,Margaret Atwood,1991,Historical,16.04,4.8
War and Peace,Margaret Atwood,1838,Fiction,11.65,4.9
Moby-Dick,Herman Melville,2010,Romance,11.55,4.0
Moby-Dick,F. Scott Fitzgerald,1983,Romance,7.67,1.8
Moby-Dick,Harper Lee,1878,Mystery,18.26,3.7
Pride and Prejudice,George Orwell,1978,Historical,18.03,4.8
War and Peace,F. Scott Fitzgerald,1810,Political,19.47,3.4
To Kill a Mockingbird,Aldous Huxley,1960,Political,14.62,1.7
The Great Gatsby,George Orwell,1988,Mystery,15.41,3.1
The Catcher in the Rye,Aldous Huxley,1885,Sci-Fi,10.67,2.3
Pride and Prejudice,J.R.R. Tolkien,1930,Adventure,14.87,4.2
The Catcher in the Rye,Margaret Atwood,1861,Fiction,9.85,1.0
War and Peace,Aldous Huxley,1925,Mystery,7.39,4.0
To Kill a Mockingbird,Leo Tolstoy,1971,Political,11.14,1.3
The Great Gatsby,Harper Lee,1899,Sci-Fi,11.53,2.0
Moby-Dick,Aldous Huxley,1947,Sci-Fi,12.79,1.7
1984,J.R.R. Tolkien,1991,Romance,17.4,3.4
To Kill a Mockingbird,Jane Austen,1912,Historical,10.28,2.2
Brave New World,Margaret Atwood,1998,Mystery,16.35,1.4
The Hobbit,F. Scott Fitzgerald,1845,Romance,12.56,2.0
To Kill a Mockingbird,F. Scott Fitzgerald,1993,Mystery,15.16,3.1
The Hobbit,J.R.R. Tolkien,1985,Fantasy,15.89,2.4
The Hobbit,George Orwell,1949,Fantasy,15.77,3.5
Pride and Prejudice,Margaret Atwood,1813,Adventure,6.22,2.4
The Catcher in the Rye,Margaret Atwood,1871,Sci-Fi,8.69,4.4
1984,Harper Lee,1852,Political,7.15,2.0
Animal Farm,F. Scott Fitzgerald,2007,Political,12.3,4.7
Pride and Prejudice,Jane Austen,1925,Dystopian,10.46,3.7
Animal Farm,Leo Tolstoy,1944,Adventure,9.45,4.8
The Hobbit,Leo Tolstoy,2000,Adventure,17.0,2.0
The Hobbit,Margaret Atwood,1949,Non-Fiction,7.56,3.8
Brave New World,Harper Lee,1912,Sci-Fi,14.4,3.5
Brave New World,Leo Tolstoy,2014,Romance,6.2,2.0
The Catcher in the Rye,Aldous Huxley,1946,Fiction,17.38,1.4
The Great Gatsby,Herman Melville,1920,Sci-Fi,17.51,3.1
War and Peace,Aldous Huxley,2004,Non-Fiction,13.84,1.1
The Hobbit,George Orwell,1904,Non-Fiction,7.81,1.6
War and Peace,Leo Tolstoy,1896,Adventure,15.57,2.9
The Catcher in the Rye,F. Scott Fitzgerald,2007,Fantasy,12.31,1.9
1984,George Orwell,1953,Historical,9.76,2.5
The Great Gatsby,Leo Tolstoy,1930,Fantasy,9.2,1.3
To Kill a Mockingbird,Harper Lee,1930,Political,6.1,3.7
The Great Gatsby,Herman Melville,1975,Political,9.99,4.4
Moby-Dick,Harper Lee,1851,Historical,14.85,2.5
Moby-Dick,Herman Melville,2011,Dystopian,11.11,1.8
The Catcher in the Rye,F. Scott Fitzgerald,1817,Non-Fiction,18.53,3.5
The Great Gatsby,George Orwell,1945,Sci-Fi,10.3,4.6
War and Peace,Margaret Atwood,1995,Mystery,14.56,4.9
Animal Farm,F. Scott Fitzgerald,1832,Political,16.74,4.5
The Great Gatsby,F. Scott Fitzgerald,1909,Dystopian,7.4,2.7
Animal Farm,Harper Lee,1848,Fiction,12.15,4.7
The Great Gatsby,Herman Melville,1994,Adventure,16.7,1.9
Animal Farm,Margaret Atwood,1924,Mystery,14.41,4.8
To Kill a Mockingbird,J.D. Salinger,1946,Adventure,13.34,2.5
Moby-Dick,George Orwell,1854,Adventure,8.47,1.4
War and Peace,Margaret Atwood,1993,Political,10.82,2.9
Moby-Dick,J.R.R. Tolkien,1943,Historical,12.19,1.1
1984,Herman Melville,1980,Romance,19.23,4.3
Pride and Prejudice,J.D. Salinger,1848,Sci-Fi,17.7,1.8
Moby-Dick,F. Scott Fitzgerald,1975,Mystery,5.14,2.0
The Hobbit,Harper Lee,1961,Fiction,14.95,3.3
1984,Jane Austen,1893,Mystery,11.21,1.9
The Catcher in the Rye,George Orwell,1921,Non-Fiction,6.25,4.5
Pride and Prejudice,Jane Austen,1881,Sci-Fi,14.64,4.8
Moby-Dick,Jane Austen,1998,Romance,9.54,4.1
1984,Margaret Atwood,1917,Political,7.86,3.5
War and Peace,Leo Tolstoy,1977,Adventure,15.24,2.6
Animal Farm,Herman Melville,1955,Dystopian,10.12,1.3
The Catcher in the Rye,F. Scott Fitzgerald,1911,Non-Fiction,7.6,1.9
Animal Farm,George Orwell,1937,Adventure,6.17,4.1
Pride and Prejudice,J.R.R. Tolkien,1863,Adventure,11.74,3.6
Pride and Prejudice,Harper Lee,1950,Adventure,15.74,2.3
To Kill a Mockingbird,Jane Austen,2012,Non-Fiction,15.98,4.8
War and Peace,Herman Melville,1854,Mystery,11.7,1.7
Brave New World,Harper Lee,1818,Political,17.5,4.6
Animal Farm,J.D. Salinger,1873,Non-Fiction,16.25,2.4
Brave New World,Leo Tolstoy,1892,Political,16.8,5.0
The Great Gatsby,Jane Austen,1836,Fiction,6.73,4.8
Pride and Prejudice,Herman Melville,1852,Historical,18.9,1.7
Animal Farm,F. Scott Fitzgerald,1841,Mystery,16.83,2.9
The Catcher in the Rye,F. Scott Fitzgerald,1985,Political,13.29,4.5
Moby-Dick,George Orwell,1839,Historical,6.37,1.6
The Great Gatsby,Herman Melville,1834,Dystopian,7.41,4.9
The Hobbit,J.D. Salinger,1819,Dystopian,11.97,1.7
1984,George Orwell,1943,Non-Fiction,18.96,4.9
Animal Farm,Leo Tolstoy,1858,Romance,7.81,1.3
To Kill a Mockingbird,Leo Tolstoy,1804,Historical,17.6,1.5
The Hobbit,Herman Melville,1844,Historical,6.8,3.8
To Kill a Mockingbird,Aldous Huxley,1899,Political,15.44,3.7
The Great Gatsby,J.R.R. Tolkien,1867,Sci-Fi,7.79,4.5
The Catcher in the Rye,F. Scott Fitzgerald,1889,Non-Fiction,8.68,4.8
Animal Farm,F. Scott Fitzgerald,1849,Adventure,16.41,1.9
Pride and Prejudice,Jane Austen,1825,Fantasy,12.4,2.7
War and Peace,Harper Lee,1942,Non-Fiction,10.85,1.1
The Catcher in the Rye,Harper Lee,1809,Non-Fiction,10.93,4.8
The Hobbit,J.D. Salinger,1952,Political,8.55,4.6
Pride and Prejudice,Jane Austen,1919,Adventure,8.39,1.2
War and Peace,Harper Lee,1887,Non-Fiction,5.12,4.1
Moby-Dick,George Orwell,1824,Sci-Fi,9.34,4.8
To Kill a Mockingbird,Herman Melville,1915,Fantasy,7.77,2.2
The Hobbit,George Orwell,1887,Sci-Fi,8.65,3.1
Brave New World,J.R.R. Tolkien,1989,Non-Fiction,5.87,3.2
1984,J.D. Salinger,1978,Dystopian,13.98,4.6
The Hobbit,George Orwell,2015,Romance,19.24,4.5
The Catcher in the Rye,Aldous Huxley,1934,Mystery,8.32,1.2
The Great Gatsby,Aldous Huxley,1934,Adventure,12.16,4.9
Moby-Dick,Aldous Huxley,1934,Dystopian,14.99,1.4
1984,Leo Tolstoy,1964,Adventure,18.22,4.0
War and Peace,George Orwell,1936,Adventure,13.29,4.0
